ID,Gender,MaritalStatus,EducationLevel,Field,Experience,Happiness,TakeAdditionalCourse,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformance
138,Male,Married,Bachelor,Education,1 - 5 Years,No,No,Staff,State,26,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,3.92,3.29,3.5,3,3.5,3.25,3.75
139,Male,Married,PhD,Education,1 - 5 Years,Yes,Yes,Expert,Private,38,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,4.5,5
140,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,29,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,4,3.14,3.83,4.5,3,4,4.5
141,Female,Married,Master,Education,6 - 10 Years,No,No,Expert,Private,32,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,2.14,3.5,2.67,1,3,2
142,Male,Married,Bachelor,Finance,21 + Years,Yes,Yes,Mid-level manager,Private,47,Agree,Neither agree nor disagree,Disagree,Agree,Agree,3.67,3.86,3.17,4,5,3.75,3.25
143,Female,Married,Master,Production,6 - 10 Years,No,No,Staff,State,29,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.92,1.71,1.17,1.67,3,3.25,3.5
144,Male,Married,PhD,Education,16 - 20 Years,No,No,Mid-level manager,Private,47,Disagree,Disagree,Disagree,Agree,Agree,3.75,2.57,2.67,3.67,4,3.25,3
145,Male,Married,Master,Production,11 - 15 Years,No,Yes,Mid-level manager,Private,37,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,2.25,1.57,3.67,1.83,2.5,2.25,3.75
146,Male,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Expert,Private,25,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,5,5
147,Male,Married,Bachelor,Information Technology,11 - 15 Years,Yes,No,Expert,Private,38,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.5,3,3.5,3.17,3.5,2,2.75
148,Male,Married,Master,Production,6 - 10 Years,Yes,No,Expert,Private,33,Disagree,Disagree,Disagree,Disagree,Disagree,2.5,2,2.67,2.83,4.5,3.5,2.5
149,Male,Married,Bachelor,Production,21 + Years,Yes,Yes,Staff,State,48,Agree,Agree,Agree,Agree,Agree,4,4,4,4,4,4,4
150,Female,Married,PhD,Education,1 - 5 Years,Yes,No,Expert,Private,30,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,3.92,3.57,4,4.5,2.5,3.75,3.5
151,Male,Married,Master,Finance,16 - 20 Years,No,No,Mid-level manager,Private,40,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.17,2.14,4.17,3.33,2.5,3,3
152,Male,Married,PhD,Education,1 - 5 Years,Yes,Yes,Staff,State,46,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,3.42,2.43,2,3.83,3.5,2.75,3
153,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Expert,Private,39,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,3.33,2.43,4,4.33,2.5,3.25,3.75
154,Female,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Staff,State,34,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.17,1.57,2,2.17,1,1.5,2.25
155,Male,Married,Bachelor,Information Technology,21 + Years,Yes,Yes,Senior manager,Private,57,Agree,Agree,Agree,Strongly agree,Strongly agree,4.92,4,3.17,5,4.5,4.75,4.5
156,Female,Married,Bachelor,Production,6 - 10 Years,No,No,Operation manager,State,29,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.33,1.29,1.17,2.5,2.5,4,3.75
157,Male,Married,Master,Production,1 - 5 Years,Yes,No,Mid-level manager,Private,28,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly agree,4.42,2.43,2,4.83,4.5,3,3.75
158,Male,Married,PhD,Education,6 - 10 Years,Yes,Yes,Staff,State,31,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,3.17,2.71,3.83,3.17,5,3,3.25
159,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Expert,Private,38,Agree,Disagree,Agree,Agree,Neither agree nor disagree,3.17,2.86,3.33,3,5,3,3
160,Male,Married,Master,Finance,6 - 10 Years,No,No,Mid-level manager,Private,31,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,3,3.17,3,3,3.5,3.5
161,Male,Married,PhD,Education,11 - 15 Years,Yes,Yes,Expert,Private,39,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,2.75,2.43,2.83,3.17,2.5,3,3
162,Male,Married,Bachelor,Production,6 - 10 Years,Yes,Yes,Senior manager,Private,32,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,5,5,5,5,5,4.25,4.5
163,Male,Married,PhD,Education,21 + Years,Yes,No,Mid-level manager,Private,43,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,2.08,2.14,2.5,2.67,2,3.5,3
164,Male,Married,PhD,Education,21 + Years,Yes,Yes,Mid-level manager,Private,49,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,4.08,3.71,4,4.5,5,4,4
165,Male,Married,PhD,Education,16 - 20 Years,Yes,No,Mid-level manager,Private,44,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.67,3.57,3,4.17,4,4,4
166,Male,Married,Master,Education,6 - 10 Years,Yes,No,Expert,Private,32,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,3.08,1.71,3.83,3.83,3.5,1.75,2
167,Male,Married,PhD,Education,11 - 15 Years,Yes,Yes,Staff,State,34,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,1.58,1.86,5,3.33,5,1,1
168,Male,Married,Master,Education,16 - 20 Years,Yes,Yes,Mid-level manager,Private,42,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2,2.14,2.33,3.33,2.5,1.25,1.75
169,Female,Married,Master,Health Care,6 - 10 Years,No,Yes,Staff,State,34,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,1.71,3.5,2.83,3.5,2.75,3
170,Male,Married,Master,Finance,21 + Years,Yes,Yes,Mid-level manager,Private,43,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,2.42,2.86,3,2.83,3,2,2
171,Male,Married,Master,Health Care,16 - 20 Years,No,No,Mid-level manager,Private,40,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.67,1.86,3.67,2.5,4.5,4,4
172,Male,Married,Master,Health Care,21 + Years,Yes,Yes,Mid-level manager,Private,50,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.5,3.57,4.5,4.67,5,4.75,5
173,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,Private,29,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,4.42,2.29,4.67,4,5,3.25,3.5
174,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,42,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,1.57,3,2.5,5,3.5,4.5
175,Female,Married,Master,Production,1 - 5 Years,Yes,No,Expert,Private,24,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.67,2.14,2.5,2.5,2,3.25,2.75
176,Male,Married,Master,Education,16 - 20 Years,No,Yes,Expert,Private,41,Agree,Neither agree nor disagree,Disagree,Agree,Agree,2.5,3.29,3.83,3.17,4,2,3
177,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Staff,State,32,Agree,Agree,Strongly disagree,Agree,Strongly disagree,2.42,2.14,3.83,2,4,2.75,3.25
178,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,37,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,4.83,2.43,5,4.83,5,3.75,4
179,Female,Married,Master,Health Care,6 - 10 Years,Yes,Yes,Staff,State,32,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,3.5,2.29,2.5,3.67,4,4,4
180,Female,Married,Bachelor,Health Care,16 - 20 Years,No,Yes,Staff,State,37,Neither agree nor disagree,Disagree,Strongly disagree,Strongly agree,Strongly agree,4.83,3,5,4.83,5,4.75,5
181,Female,Married,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,33,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,4,3.14,4.83,4.67,4.5,4.25,4.25
182,Female,Married,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,28,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3,2.14,4.33,2.83,1,1.5,1.5
183,Female,Married,Bachelor,Health Care,6 - 10 Years,No,Yes,Staff,State,31,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.75,1.86,4.83,3.33,3.5,3,3.5
184,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Staff,State,26,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,1.58,1.57,4.33,2.67,2,1,1.5
185,Female,Married,Bachelor,Health Care,16 - 20 Years,Yes,No,Staff,State,36,Agree,Neither agree nor disagree,Agree,Agree,Agree,3.67,3.29,4.5,3.67,4,3,3
186,Female,Married,Bachelor,Education,21 + Years,Yes,No,Mid-level manager,Private,37,Disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,3.83,1.71,1.67,3.5,3,1,1
187,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Operation manager,State,34,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.92,5,4.17,4.83,4.5,2.75,3.5
188,Female,Married,Master,Education,1 - 5 Years,Yes,No,Staff,State,29,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,3.58,3,2,4.5,5,2,2
189,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Senior manager,Private,28,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,4.67,2.71,4.5,4.5,5,4.5,4.75
190,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,33,Strongly disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,2.83,2.43,2.83,3.5,5,2,2
191,Female,Married,Master,Health Care,1 - 5 Years,Yes,Yes,Staff,State,36,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.5,4,4.67,4.67,3.5,5,5
192,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,39,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2.5,1.43,2.5,1.67,3,4.5,5
193,Female,Married,Bachelor,Health Care,21 + Years,Yes,No,Staff,State,42,Agree,Agree,Neither agree nor disagree,Agree,Agree,4,3.71,4.5,3.67,4.5,4,4
194,Male,Married,Master,Education,1 - 5 Years,Yes,No,Mid-level manager,Private,28,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,3.75,4.57,4,4.67,5,4.5,4.25
195,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,29,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,2.71,3.83,3.17,2.5,2.25,2.25
196,Male,Married,Master,Education,6 - 10 Years,Yes,No,Expert,Private,33,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,3.71,4,5,5,4.75,4.5
197,Male,Married,PhD,Education,11 - 15 Years,No,No,Mid-level manager,Private,36,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,4.17,3.43,3.5,4.33,5,3,3.25
198,Female,Married,Bachelor,Health Care,16 - 20 Years,No,No,Staff,State,38,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.42,1.71,4.33,3.83,5,2.75,3.25
199,Female,Married,Master,Health Care,11 - 15 Years,No,No,Staff,State,34,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.42,2,3.5,2.5,4,3.25,3.5
200,Female,Married,PhD,Health Care,16 - 20 Years,No,No,Staff,State,45,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,1.83,2.29,3.67,2.83,2.5,2.75,3
201,Male,Married,Bachelor,Health Care,6 - 10 Years,Yes,No,Staff,State,30,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,3.08,1.86,2.33,2.5,4,2,2
202,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Expert,Private,32,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,2.83,2.71,3.67,3,4,2.75,2.5
203,Male,Married,PhD,Health Care,21 + Years,Yes,No,Senior manager,Private,57,Strongly agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.33,4.14,3.67,3.33,5,4.75,5
204,Male,Married,PhD,Education,6 - 10 Years,Yes,Yes,Staff,State,30,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,2.83,1.86,1.67,3.33,2,1.75,2.25
205,Male,Married,Bachelor,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,35,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,1.92,1.43,2,1.83,3,3,1.25
206,Female,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,28,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.92,1.71,2.67,3.17,1,3.5,3.75
207,Female,Married,Bachelor,Health Care,6 - 10 Years,No,No,Staff,State,33,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.5,1.29,3.17,2.5,4,2,1.5
208,Female,Married,Master,Health Care,1 - 5 Years,Yes,Yes,Staff,State,31,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,2.25,1.86,3.17,2.5,5,2.5,1.5
209,Female,Married,PhD,Education,1 - 5 Years,Yes,No,Staff,State,28,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,3.25,2.43,3.67,3.5,5,3,3
210,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Operation manager,State,36,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,4.17,3.71,3.83,4.17,5,2.75,3
211,Male,Married,Master,Education,6 - 10 Years,Yes,Yes,Staff,State,35,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.42,4.29,3.5,4.67,5,3.5,3.75
212,Male,Married,PhD,Finance,1 - 5 Years,No,Yes,Mid-level manager,Private,40,Strongly disagree,Disagree,Agree,Agree,Agree,4.42,2.14,3.5,2.67,5,2.75,2.25
213,Female,Married,Bachelor,Health Care,21 + Years,No,Yes,Operation manager,State,46,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,2.14,3.33,3.33,3,2.5,3.5
214,Female,Married,Bachelor,Finance,21 + Years,Yes,Yes,Operation manager,State,50,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,3.75,2.29,3.33,3.5,4,3.25,4
215,Female,Married,Master,Health Care,6 - 10 Years,No,Yes,Staff,State,30,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,2.5,3,2.67,1.33,5,2.75,2.75
216,Female,Married,Bachelor,Finance,16 - 20 Years,Yes,No,Mid-level manager,Private,52,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,1.92,1.29,4.67,1.67,3,2.25,1.75
217,Female,Married,Bachelor,Education,16 - 20 Years,Yes,Yes,Senior manager,Private,46,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,4.17,2.43,3,3.83,5,3.5,2.75
218,Female,Married,Master,Health Care,21 + Years,No,Yes,Expert,Private,40,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,1.67,1.86,2,1.83,4.5,3.25,4.25
219,Male,Married,Master,Education,6 - 10 Years,Yes,No,Mid-level manager,Private,38,Agree,Agree,Disagree,Agree,Agree,4,3.71,4.17,4.17,4.5,3.25,3.75
220,Male,Married,Bachelor,Education,11 - 15 Years,Yes,Yes,Staff,State,38,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Strongly agree,4.42,3.14,4.83,4.33,4.5,4.25,4.25
221,Female,Married,Master,Health Care,16 - 20 Years,Yes,No,Senior manager,Private,42,Agree,Agree,Disagree,Agree,Strongly agree,4.58,3.71,4.17,4.5,5,3.5,3.75
222,Female,Married,Bachelor,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,49,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.42,2.86,4,3.5,3.5,4.25,4.25
223,Male,Married,Master,Finance,1 - 5 Years,Yes,Yes,Expert,Private,31,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.25,3.29,3.5,3.67,3,3.75,3.25
224,Male,Married,Bachelor,Education,21 + Years,Yes,Yes,Mid-level manager,Private,40,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,1.5,2.29,3.5,3.67,1,2.5,2.25
225,Female,Married,Bachelor,Health Care,21 + Years,Yes,Yes,Mid-level manager,Private,48,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,3.75,2.43,3.33,3,2,2,2
226,Female,Married,Bachelor,Education,21 + Years,Yes,Yes,Expert,Private,53,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,4.75,3.29,4.17,4.5,4.5,4.25,4.75
227,Male,Married,PhD,Education,11 - 15 Years,Yes,Yes,Mid-level manager,Private,42,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,3.75,3.43,3.5,3.67,3.5,3.75,3.5
228,Male,Married,PhD,Education,11 - 15 Years,No,Yes,Expert,Private,36,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,2.58,2.14,2.67,2.83,2,3,3.75
229,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Expert,Private,31,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,4.33,4.57,4.67,5,4,3.75,4.75
230,Male,Married,Master,Health Care,16 - 20 Years,No,Yes,Staff,State,42,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,2.17,1.14,2.67,1.33,3,3.25,2.5
231,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Senior manager,Private,30,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,4.08,3.71,3,3.83,3.5,3.25,3.75
232,Female,Married,Master,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,30,Agree,Neither agree nor disagree,Agree,Agree,Agree,4.92,4,4.83,4.17,5,5,4.75
233,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,32,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,3.83,3.57,4,4.17,5,4,4
234,Female,Married,Master,Health Care,16 - 20 Years,No,Yes,Mid-level manager,Private,34,Neither agree nor disagree,Disagree,Strongly disagree,Disagree,Disagree,3.17,2.14,2.33,2.33,4,2.75,3
235,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,Private,33,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,3.92,2.71,4.5,4,4.5,3,3
236,Female,Married,Master,Finance,1 - 5 Years,No,No,Expert,Private,24,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,3.33,2.86,4.33,2.67,2.5,4.5,4.75
237,Male,Married,Bachelor,Information Technology,6 - 10 Years,Yes,No,Expert,Private,29,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,5,4.43,5,5,5,4.75,4.75
238,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,31,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Strongly disagree,2.25,2.86,1.17,2,4,3.25,3
239,Male,Married,Master,Finance,11 - 15 Years,No,Yes,Mid-level manager,Private,33,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Agree,3.92,2.29,4.17,3.83,5,2,2.5
240,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,35,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Agree,4.17,2.71,3.17,4,2.5,2.25,2.25
241,Male,Married,Master,Production,1 - 5 Years,Yes,No,Operation manager,State,27,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.92,5,5,5,5,5,5
242,Female,Married,Master,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,39,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.5,3.14,3.67,3,3.5,2.25,3.5
243,Male,Married,Master,Finance,21 + Years,No,Yes,Expert,Private,48,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.25,2.43,3.5,2.83,3.5,3.75,3.25
244,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Mid-level manager,Private,40,Agree,Agree,Agree,Strongly agree,Strongly agree,3.42,4.43,3.83,4.17,4.5,5,4.5
245,Male,Married,Master,Education,16 - 20 Years,No,No,Mid-level manager,Private,40,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,3.67,2.71,3.67,4,4,3.75,4.25
246,Male,Married,Bachelor,Finance,11 - 15 Years,Yes,Yes,Expert,Private,33,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Strongly agree,4,3.43,4.33,4.5,5,5,5
247,Male,Married,Bachelor,Finance,6 - 10 Years,Yes,No,Expert,Private,37,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4.83,4.71,4.17,5,5,5,5
248,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Operation manager,State,32,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,2.25,2.71,2.33,2.5,2,2.25,2.25
249,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Expert,Private,28,Agree,Disagree,Strongly disagree,Agree,Agree,3.25,3,3.5,4,3.5,3.75,3.75
250,Male,Married,Master,Finance,11 - 15 Years,No,No,Mid-level manager,Private,35,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.83,2.14,2.67,3.33,2.5,2,2.25
251,Male,Married,Master,Information Technology,11 - 15 Years,Yes,Yes,Expert,Private,35,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,3.5,3.43,3.83,2.83,3.5,3,3.5
252,Male,Married,Bachelor,Finance,11 - 15 Years,No,No,Expert,Private,36,Strongly agree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,1.92,2.43,3.33,2,2,3,2.25
253,Male,Married,Master,Finance,1 - 5 Years,No,No,Staff,State,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,1.25,1.29,1.67,2,1.5,1,1
254,Female,Married,Master,Information Technology,6 - 10 Years,No,Yes,Expert,Private,31,Agree,Disagree,Disagree,Agree,Agree,3.58,3.43,3.33,3.67,3.5,3.75,3.5
255,Male,Married,Master,Finance,1 - 5 Years,Yes,No,Expert,Private,30,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.42,4.14,4.17,4.5,5,4.75,4.25
256,Male,Married,Master,Finance,16 - 20 Years,Yes,Yes,Expert,Private,41,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,4.25,3.43,3.83,3.83,4.5,3.5,3.5
257,Male,Married,Master,Finance,6 - 10 Years,Yes,No,Expert,Private,32,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,2.58,1.29,2.17,3,1,1,1
258,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,29,Agree,Agree,Neither agree nor disagree,Agree,Agree,4.33,4,4,4.17,5,3,3
259,Female,Married,Bachelor,Finance,1 - 5 Years,Yes,Yes,Staff,State,27,Agree,Agree,Disagree,Agree,Agree,2.75,3.29,3.5,3.5,3,4.25,5
260,Male,Married,Bachelor,Information Technology,6 - 10 Years,Yes,Yes,Expert,Private,33,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,4.17,4,3.67,4.33,5,4.5,3.25
261,Male,Married,Master,Information Technology,1 - 5 Years,Yes,No,Operation manager,State,28,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,4.17,3.43,4.5,4.5,4,3.25,3.25
262,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Operation manager,State,30,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.75,2.43,2.5,2.5,2.5,4,4.25
263,Male,Married,Master,Finance,6 - 10 Years,Yes,Yes,Mid-level manager,Private,38,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,3.17,3.57,2.83,2.67,4,3,3
264,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Senior manager,Private,38,Agree,Agree,Agree,Strongly agree,Strongly agree,4.33,4.43,4.33,4.83,5,3.25,4.25
265,Male,Married,Master,Information Technology,11 - 15 Years,No,Yes,Mid-level manager,Private,39,Strongly agree,Agree,Agree,Agree,Agree,4,4.57,4.17,4,3,4.75,4.75
266,Male,Married,Master,Finance,6 - 10 Years,No,No,Mid-level manager,Private,33,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,2.08,1.86,2.83,2.5,4,2,2
267,Male,Married,Master,Finance,6 - 10 Years,No,Yes,Mid-level manager,Private,32,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,3.75,2.71,3.33,3.83,4,3.25,3
268,Female,Married,Master,Finance,1 - 5 Years,Yes,No,Expert,Private,26,Neither agree nor disagree,Agree,Agree,Agree,Agree,3.5,3.86,4,4.17,3.5,3,2.5
269,Male,Single,Master,Finance,1 - 5 Years,No,Yes,Expert,Private,28,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,4.33,4.86,4.17,4,5,4.5,3.75
270,Male,Married,Master,Finance,16 - 20 Years,Yes,Yes,Mid-level manager,Private,39,Agree,Agree,Agree,Strongly agree,Strongly agree,4.67,4.14,4.33,4.83,5,3.75,4
271,Male,Married,Master,Information Technology,11 - 15 Years,Yes,Yes,Expert,Private,41,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4.67,4.57,3.5,5,5,5,5
272,Male,Married,Master,Finance,16 - 20 Years,No,No,Senior manager,Private,38,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Strongly agree,4.5,3.86,4.17,4.83,5,3.25,5
273,Male,Married,Master,Information Technology,11 - 15 Years,Yes,Yes,Mid-level manager,Private,34,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.5,2.57,2.83,3.17,1.5,3.75,3.25
